"is_active","axial_1","vertical_1","horizontal_1","axial_2","vertical_2","horizontal_2","axial_3","vertical_3","horizontal_3","axial_4","vertical_4","horizontal_4","extract"
1,-6.10,-5.40,-5.80,-5.70,-5.00,-5.50,-5.60,-5.60,-5.10,-6.10,-6.10,-5.30,1674628345.125007
1,0.40,1.50,1.20,1.40,2.00,1.00,1.50,0.40,0.60,0.30,0.00,0.30,1674628345.125007
1,-6.70,0.30,0.60,-6.90,-6.50,-6.30,-4.90,-5.00,-5.70,-4.80,-6.10,-5.60,1674628345.125007
0,0.00,0.00,0.00,0.10,0.00,0.00,0.10,0.10,0.10,0.00,0.00,0.10,1674628345.125007
0,-7.10,-7.10,-7.10,-7.00,-7.00,-7.10,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,1674628345.125007
1,2.60,-2.70,-3.20,2.00,1.80,1.10,0.30,0.40,0.40,0.60,0.40,0.80,1674628345.125007
1,-6.70,0.30,0.60,-6.90,-6.50,-6.30,-4.90,-5.00,-5.70,-4.80,-6.10,-5.60,1674628345.125007
1,0.40,1.50,1.20,1.40,2.00,1.00,1.50,0.40,0.60,0.30,0.00,0.30,1674628345.125007
1,-6.10,-5.40,-5.80,-5.70,-5.00,-5.50,-5.60,-5.60,-5.10,-6.10,-6.10,-5.30,1674628345.125007
1,-6.10,-5.40,-5.80,-5.70,-5.00,-5.50,-5.60,-5.60,-5.10,-6.10,-6.10,-5.30,1674628345.125007
1,0.40,1.50,1.20,1.40,2.00,1.00,1.50,0.40,0.60,0.30,0.00,0.30,1674628345.125007
1,-6.70,0.30,0.60,-6.90,-6.50,-6.30,-4.90,-5.00,-5.70,-4.80,-6.10,-5.60,1674628345.125007
0,-7.10,-7.10,-7.10,-7.00,-7.00,-7.10,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,1674628345.125007
1,2.60,-2.70,-3.20,2.00,1.80,1.10,0.30,0.40,0.40,0.60,0.40,0.80,1674628345.125007
0,0.00,0.00,0.00,0.10,0.00,0.00,0.10,0.10,0.10,0.00,0.00,0.10,1674628345.125007
0,0.00,0.00,0.00,0.10,0.00,0.00,0.10,0.10,0.10,0.00,0.00,0.10,1674628345.125007
0,0.00,0.00,0.00,0.10,0.00,0.00,0.10,0.10,0.10,0.00,0.00,0.10,1674628345.125007
0,-7.10,-7.10,-7.10,-7.00,-7.00,-7.10,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,1674628345.125007
0,-7.10,-7.10,-7.10,-7.00,-7.00,-7.10,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,1674628345.125007
1,2.60,-2.70,-3.20,2.00,1.80,1.10,0.30,0.40,0.40,0.60,0.40,0.80,1674628345.125007
1,-6.10,-5.40,-5.80,-5.70,-5.00,-5.50,-5.60,-5.60,-5.10,-6.10,-6.10,-5.30,1674628345.125007
1,0.40,1.50,1.20,1.40,2.00,1.00,1.50,0.40,0.60,0.30,0.00,0.30,1674628345.125007
1,-6.70,0.30,0.60,-6.90,-6.50,-6.30,-4.90,-5.00,-5.70,-4.80,-6.10,-5.60,1674628345.125007
1,2.60,-2.70,-3.20,2.00,1.80,1.10,0.30,0.40,0.40,0.60,0.40,0.80,1674628345.125007
1,-6.70,0.30,0.60,-6.90,-6.50,-6.30,-4.90,-5.00,-5.70,-4.80,-6.10,-5.60,1674628345.125007
1,2.60,-2.70,-3.20,2.00,1.80,1.10,0.30,0.40,0.40,0.60,0.40,0.80,1674628345.125007
1,0.40,1.50,1.20,1.40,2.00,1.00,1.50,0.40,0.60,0.30,0.00,0.30,1674628345.125007
1,-6.10,-5.40,-5.80,-5.70,-5.00,-5.50,-5.60,-5.60,-5.10,-6.10,-6.10,-5.30,1674628345.125007
0,0.00,0.00,0.00,0.10,0.00,0.00,0.10,0.10,0.10,0.00,0.00,0.10,1674628345.125007
0,-7.10,-7.10,-7.10,-7.00,-7.00,-7.10,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,1674628345.125007
0,-7.00,-7.10,-7.10,-7.00,-7.00,-7.10,-7.00,-7.00,-7.00,-6.90,-7.00,-7.00,1674628405.125007
